h0	H	ro0	ro01	romin	romid	romax
0	8.4	1.225	1.225	1.225	1.225	1.225
100	25.1	5.25E-07	5.75E-07	5.52077E-07	5.45758E-07	5.42001E-07
150	32.4	1.73E-09	1.99E-09	1.55597E-09	2.23357E-09	2.58821E-09
200	39.2	2.41E-10	3.65E-10	1.24738E-10	3.3037E-10	4.59198E-10
250	44.8	5.97E-11	1.20E-10	1.84927E-11	8.72971E-11	1.65959E-10
300	50.3	1.87E-11	4.84E-11	3.68129E-12	2.91743E-11	7.76247E-11
350	54.8	6.66E-12	2.18E-11	8.51138E-13	1.11686E-11	4.08319E-11
400	58.2	2.62E-12	1.05E-11	2.17771E-13	4.67735E-12	2.29087E-11
450	61.3	1.09E-12	5.35E-12	6.42688E-14	2.08449E-12	1.34896E-11
500	64.5	4.76E-13	2.82E-12	2.36048E-14	9.63829E-13	8.18465E-12
550	68.7	2.14E-13	1.53E-12	1.1695E-14	4.62381E-13	5.11682E-12
600	74.8	9.89E-14	8.46E-13	7.29458E-15	2.2751E-13	3.27341E-12
650	84.4	4.73E-14	4.77E-13	5.24807E-15	1.16145E-13	2.13796E-12
700	99.3	2.36E-14	2.73E-13	4.03645E-15	6.15177E-14	1.41579E-12
750	121.0	1.24E-14	1.59E-13	3.13329E-15	3.42768E-14	9.50605E-13
800	151.0	6.95E-15	9.41E-14	2.45471E-15	2.01837E-14	6.45654E-13
850	188.0	4.22E-15	5.67E-14	1.96336E-15	1.2735E-14	4.44631E-13
900	226.0	2.78E-15	3.49E-14	1.59588E-15	8.59014E-15	3.0903E-13
950	263.0	1.98E-15	2.21E-14	1.31826E-15	6.16595E-15	2.1677E-13
1000	296.0	1.49E-15	1.43E-14	1.10154E-15	4.66659E-15	1.53815E-13
1250	408.0	5.70E-16	2.82E-15	4.60257E-16	1.77419E-15	3.26588E-14
1500	516.0	2.79E-16	1.16E-15	2.24388E-16	9.18333E-16	9.84011E-15
2000	829.0	9.09E-17	3.80E-16	7.2778E-17	2.30144E-16	2.52348E-15
